"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250906.rds",16835.9159501597,-33883.0025008737,-33884.9170779289,0.694163907699802,0.691779173194776,NA,NA,NA,NA,NA
"ts_bru0_lmbeta_250906.rds",15675.118398261,-31527.3116573781,-31523.8067112434,0.64579434971379,0.643211134991938,NA,NA,NA,NA,NA
"ts_bru0_lmt_250906.rds",17562.3451189271,-35360.0322142736,-35357.2786590392,0.724326595376865,0.721647865379745,NA,NA,NA,NA,NA
"ts_bru0_ar1_250906.rds",17802.7873492395,-36100.849762062,-36102.4003602246,0.739589726087611,0.736334549073524,NA,NA,NA,NA,NA
"ts_bru0_ar2_250906.rds",17859.9649878337,-36158.5688278636,-36163.525728195,0.740842556832058,0.738198171596867,NA,NA,NA,NA,NA
"ts_bru0_1DSPDE_250906.rds",16927.5278213344,-34081.9113507707,-34084.3693763132,0.698249830358468,0.696641366751759,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250906.rds",9207.24975262401,-19378.317569507,-19374.4242718729,1.23646606892978,1.20580905912634,NA,NA,NA,NA,NA
"lm_model_aic0_250906.rds",NA,NA,NA,NA,NA,-32854.8949037725,-32709.0476491756,16445.4474518862,371.35084876413,0.8237003337243
"gblm_model_aic0_250906.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250906.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.777469350089794
