"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.235293929450781,0.225166615066475,47.5367739146661,42.0993397153947,0.225166615066475
"QM",0.0652261521710899,0.0511162161910427,10.9418178792358,7.82891576677174,0.0403667005572882
"GB LM",0.0462130288597132,0.0397203904543833,8.09587238725991,6.97275656103953,-0.0139116260569539
"Linear model",0.036908504416055,0.030632903519114,7.51526821258113,4.72555097103234,0.00454387298733757
"AR2 model",0.0293116489206004,0.0241892025813639,5.04433392569765,4.45379669249044,-0.0153955261776699
"AR1 model",0.0286940268612579,0.0238099170490924,4.87111408138867,4.42130362445766,-0.0152701432644756
"Spatio-temporal model",0.0173294531092287,0.0137000279597736,2.67319149941694,2.22041843826359,-0.00602136791063526
