"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.152549288342532,0.144502500264922,39.0739389923007,26.4555951378759,0.144502500264922
"GB LM",0.0763166406373044,0.0640530255566688,13.3025722406812,11.959606653148,-0.0498843898246037
"LM beta model",0.0419569388229128,0.0352820930020362,10.8660805682108,5.80444075987776,-0.00157585071520174
"Linear model",0.0403771303895501,0.0331584173023188,9.87200814180323,5.26672685830807,0.00188683625038983
"LM bru model",0.0376522222787655,0.0316258288791885,9.37405102102259,5.30572085803215,7.87493064043876e-05
"QM",0.0364457359981843,0.0294120949806364,7.81414326510687,4.76296994368544,-0.000237419836003128
"LM+hour model",0.035723998890486,0.0297749136619797,8.79017208987609,4.83315937408534,-2.60020243641487e-05
"LM t model",0.0355398423176632,0.0297395133158963,8.53311971983742,4.94908296971615,-0.00110981741212573
"AR1 model",0.0187154910344011,0.0153317190160343,3.73355401129146,2.61051526046222,-0.0021283724493855
"ST model coarser",NA,NA,64.5025279876626,64.5025279876626,-0.265890468314594
