"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250518.rds",21766.0657459989,-43767.5052866949,-43762.4783504899,0.854368592879668,0.852641097623378,NA,NA,NA,NA,NA
"ts_bru0_lmbeta_250518.rds",14207.4750706247,-28592.9628690001,-28590.5763589281,0.558169811089165,0.556200691118592,NA,NA,NA,NA,NA
"ts_bru0_lmt_250518.rds",25058.2039911174,-50410.1979261425,-50398.4169642505,0.98392124037806,0.980957074210286,NA,NA,NA,NA,NA
"ts_bru0_ar1_250518.rds",22235.2782755416,-44932.6453566282,-44903.339217815,0.876639396740634,0.873398600903591,NA,NA,NA,NA,NA
"ts_bru0_ar2_250518.rds",22294.9401594624,-45003.9380739038,-44975.0508817509,0.878040051130631,0.875181574330654,NA,NA,NA,NA,NA
"ts_bru0_1DSPDE_250518.rds",21848.1484130432,-43932.6883546638,-43926.7793994954,0.857576141550177,0.85617271559824,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250518.rds",7535.15808254573,-15890.1953122823,-15889.2946717569,1.02278711430997,1.00140653193818,NA,NA,NA,NA,NA
"lm_model_aic0_250518.rds",NA,NA,NA,NA,NA,-43300.7574653641,-43145.8926980762,21669.3787326821,276.084522561742,0.721524197652304
"gblm_model_aic0_250518.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250518.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693003050080672
