"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.159048425614978,0.149319503158554,57.5333561302418,52.441313437126,0.149319503158554
"GB LM",0.0385017328680925,0.0318317637385379,11.6682503116086,8.77032884384106,-0.00574941693453563
"QM",0.0352379485007986,0.0299852466546187,11.986838424693,9.10419138515072,0.0106683704231632
"Linear model",0.0320644215020435,0.0266545175086236,10.210334468954,7.55838324885102,-0.00190990610167808
"AR2 model",0.0238442453310683,0.0192340663453541,5.87751461093631,5.66974494759029,-0.00836999510593276
"AR1 model",0.0237812734365108,0.0191129482327683,5.79805451400444,5.46697766173226,-0.00833396898950189
"Spatio-temporal model",0.00998346280669577,0.00789884685525698,2.51113116772372,2.11543424242402,-0.00440167532825395
