"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.292543513773957,0.288531891229598,45.9304448420075,41.9648440949207,0.288531891229598
"QM",0.094990933390236,0.0821501918045959,13.1425457119655,12.6529661192388,0.0821501918045959
"GB LM",0.0440455184287194,0.0348047905170735,5.62871139596594,4.54328109428545,0.030269739907429
"Linear model",0.0381554301967835,0.0307025021625466,4.9631825541532,4.71863339100434,0.0192729658827905
"AR2 model",0.0288685491319455,0.0242286899512571,3.83635514837395,3.55497469517524,0.00258388999803749
"AR1 model",0.0270103101376454,0.022393750622931,3.54328513029533,3.25098165226245,0.00258425258363546
"Spatio-temporal model",0.0131692921127449,0.0103946615101347,1.61952722525959,1.16629905487602,-0.000679936062653277
