"model","RMSE","MAE","Bias"
"QM",0.209967392136844,0.134683364667663,0.000157880149124943
"GB LM",0.191241196849758,0.129901769515338,0.0212245235832621
"Linear model",0.168268129899213,0.117012963054481,0.00176355231125146
"1D SPDE model",0.167245751937525,0.11558156567356,0.00145575784193649
"AR2 model",0.163636727174786,0.112667568176992,0.00144649826816163
"AR1 model",0.163589469838696,0.112639852976807,0.00143730406609043
"Spatio-temporal coarse",0.12411139707433,0.0818555460055324,0.00126144054502578
"Spatio-temporal fine",0.0967531864585175,0.0609028191689049,0.00115973310707894
