"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250127.rds",15336.7128925686,-30858.8217599109,-30856.7778109186,0.656778658406872,0.652961159846406,NA,NA,NA,NA,NA
"ts_bru0_lmbeta_250127.rds",10411.1007273459,-21011.4995737903,-21005.4442971009,0.447095477341979,0.442648959114088,NA,NA,NA,NA,NA
"ts_bru0_lmt_250127.rds",17404.2532506792,-35091.9664303217,-35069.6532666905,0.746448733868622,0.740784733937166,NA,NA,NA,NA,NA
"ts_bru0_ar1_250127.rds",16013.1972800807,-32330.9188778346,-32331.1229406477,0.68815897627784,0.68618226034265,NA,NA,NA,NA,NA
"ts_bru0_ar2_250127.rds",16018.2217135889,-32358.5360164448,-32358.9305911561,0.688750997224238,0.686603496910665,NA,NA,NA,NA,NA
"ts_bru0_1DSPDE_250127.rds",15315.4795543792,-30797.2029218264,-30795.7485542506,0.655479684228735,0.653695543069541,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250127.rds",3384.82712985726,-7203.84645356587,-7243.49758185397,0.61026183263314,0.600187825026537,NA,NA,NA,NA,NA
"lm_model_aic0_250127.rds",NA,NA,NA,NA,NA,-30171.3919675212,-30026.2332598563,15103.6959837606,380.156180416719,0.844240752050349
"gblm_model_aic0_250127.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250127.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.796740832181665
