"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250121.rds",12547.870760129,-25295.2382883202,-25297.4801757195,0.535283099455177,0.531875141891695,NA,NA,NA,NA,NA
"ts_bru0_lmbeta_250121.rds",10842.6114638627,-21860.6831139612,-21856.1368682987,0.462465814972963,0.457480871281747,NA,NA,NA,NA,NA
"ts_bru0_lmt_250121.rds",13015.0868176798,-26243.1344508352,-26240.4067232978,0.555235005857987,0.551119438297724,NA,NA,NA,NA,NA
"ts_bru0_ar1_250121.rds",12967.8001271461,-26230.9283000382,-26240.8060191635,0.555243085703847,0.55417057290048,NA,NA,NA,NA,NA
"ts_bru0_ar2_250121.rds",12976.9256563806,-26264.2544880674,-26274.0557990167,0.555946776961893,0.553536800341982,NA,NA,NA,NA,NA
"ts_bru0_1DSPDE_250121.rds",12553.8095302624,-25299.4111198078,-25301.7544846018,0.535373545751569,0.533274220735355,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250121.rds",6601.07626734071,-13916.7927915826,-13980.2125332755,0.925948041503828,0.901364078667161,NA,NA,NA,NA,NA
"lm_model_aic0_250121.rds",NA,NA,NA,NA,NA,-24446.0991698514,-24292.7639948179,12242.0495849257,490.904990792093,0.791097853320503
"gblm_model_aic0_250121.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250121.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.738544614237815
