"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.134447004192035,0.125881446564224,56.6733334340272,45.4038874826635,0.125881446564224
"GB LM",0.0493102329501863,0.0365123472524409,13.6001422014059,10.8657867089985,-0.0228347434159486
"Linear model",0.0351854603833863,0.0261797250413241,13.9558555975662,7.27151175329908,0.00884384382120511
"LM t model",0.0321059688630591,0.0252584377890242,10.3002258210025,8.11773540553529,-0.0162365821885807
"QM",0.02958597218206,0.0234848573630538,11.3755523491753,8.57343451863536,-0.00808436064974159
"LM beta model",0.0283666574863903,0.0220559035275461,12.2190253294575,6.56867645960385,0.0097561717530668
"LM bru model",0.0274777780757521,0.0210922154886595,11.0186517760571,6.28809248076771,0.00355499391548793
"LM+hour model",0.0268812068500063,0.0211335225791484,11.1832445420139,6.39584371261078,0.00347981676843616
"AR1 model",0.0168409724467457,0.0132572013669212,6.56150285233236,4.38860100986566,0.00234317461254239
"ST model coarser",NA,NA,NA,NA,NA
