"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.152830676828309,0.145068423156791,40.1162911814213,34.3980178227764,0.145068423156791
"GB LM",0.0674634544188547,0.0545756520809131,11.4414720736249,11.007567172186,-0.0465191852484724
"LM beta model",0.0331337490299719,0.0269988381740572,8.42090211719203,5.06418511983643,0.00617205491993378
"QM",0.0316947238323872,0.0243027473499237,6.95484472214427,4.49530747058017,-0.000758181414946126
"Linear model",0.031219703000264,0.0246447484912095,7.22529230624777,4.41697612062649,0.00397627739197556
"LM+hour model",0.0308974087550965,0.0242036989795023,7.04336970552805,4.72950339952737,0.00198784894913419
"LM bru model",0.0308471601760658,0.0242124822341064,6.90926348866113,4.60351319754216,0.00180028657793055
"LM t model",0.0294389016164255,0.0220171037291902,5.89076377631711,3.90909489181305,-0.00573860577030914
"AR1 model",0.0168881225333833,0.0137555023150589,3.77228611531095,2.80785252024668,0.000377121028660538
"ST model coarser",NA,NA,NA,NA,NA
