"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.226649370464192,0.212905566549504,59.8211822866897,61.0032770124595,0.212905566549504
"QM",0.0674701041508181,0.0531908973081333,14.0178878507966,16.1413025395177,0.0502421076903852
"GB LM",0.0347100840582202,0.0290862881575826,7.92272118102298,6.53073730600027,0.0147783443033235
"Linear model",0.0261018793310596,0.0214642838000313,5.9708959776736,5.67991776506798,0.00985038504071671
"Spatio-temporal model",0.0098329103277722,0.00787269688241814,2.45557874295779,1.48035824785692,0.000936787065189036
