"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.215081496133594,0.170090178251797,39.2278862468697,0.119192819247891
"QM",0.16870850696473,0.12473094060937,30.6263070083496,-0.0285474836021908
"GB LM",0.16024707403205,0.124746116401211,26.7424770564004,-0.0280050896523358
"Linear model",0.146116009867153,0.113793580560901,25.109928628337,0.000588977026215983
"LM t model",0.143680851009376,0.110097379318616,24.4426600444415,-0.00438807007632187
"LM beta model",0.143472655352856,0.111667490230201,23.8229897943577,0.00406412118673573
"LM bru model",0.143398108784983,0.110991385139766,24.3489551658825,0.000420245730557452
"LM+hour model",0.141751619389238,0.109855414237832,24.1105056558663,0.000493205886054899
"AR1 model",0.134472917956486,0.10368904572089,22.6975382712044,0.000546482587491939
"ST model coarser",NA,NA,99.9945185308297,-0.302849259731715
