"dist_coast_g4","model","RMSE","MAE","MAPE","MDAPE","Bias"
"[0.382,11.5]","Generic PC",0.247882926427418,0.204697028493598,167.700230374246,45.4263008731411,0.161198250373146
"[0.382,11.5]","QM",0.178243590016937,0.135175009086688,75.5226921895451,28.6697024344659,0.0329016560397615
"[0.382,11.5]","GB LM",0.174578199953517,0.133054292518489,128.055792856877,25.217619963861,-0.00683413494379947
"[0.382,11.5]","Linear model",0.161530506195076,0.124033051520642,81.5200957391504,25.0352239207119,0.0112004948014303
"[0.382,11.5]","LM t model",0.157071109805691,0.118651245168895,66.2744100763779,24.0232900610146,-0.00541913402167827
"[0.382,11.5]","LM bru model",0.156060906754786,0.120365891160618,74.9443010316318,24.2085614798833,0.0031682879337657
"[0.382,11.5]","LM+hour model",0.155795236585618,0.120100399184301,74.1753159869621,23.9269176557645,0.00323562123550644
"[0.382,11.5]","LM beta model",0.15506904911698,0.120161225936573,143.940478232996,23.903752568444,0.00707307884332905
"[0.382,11.5]","AR1 model",0.151296156611539,0.116786851992662,100.529830157929,23.5622026177373,0.00307265758540468
"[0.382,11.5]","ST model coarser",NA,NA,334.330724020618,99.8887702284874,-0.159643942510609
"(11.5,21.7]","Generic PC",0.204032899983013,0.160026443308483,136.685158197109,40.680960301619,0.0919498992650168
"(11.5,21.7]","GB LM",0.176012615198385,0.13428831355152,122.44558303834,30.1867730484588,-0.063421145243234
"(11.5,21.7]","QM",0.170083364944773,0.125856579932384,62.5372875853839,30.4221928144851,-0.0332524503172073
"(11.5,21.7]","Linear model",0.160516498730712,0.123398077670698,113.913686461541,27.6115787026024,-0.0268879143232943
"(11.5,21.7]","LM beta model",0.156671628567698,0.122376126725472,151.428395865562,28.6137212713936,0.00167027756474294
"(11.5,21.7]","LM t model",0.156408187500237,0.118822977781167,122.653113104554,27.8916250196222,-0.0149909475789594
"(11.5,21.7]","LM bru model",0.155638088044221,0.12037047950134,134.866995360421,28.1647225475194,-0.00455046038795196
"(11.5,21.7]","LM+hour model",0.155241852959638,0.120033410664916,138.391704303272,28.3231620470528,-0.00459780517304107
"(11.5,21.7]","AR1 model",0.145228855063741,0.11321379564051,166.966873243557,26.8395288004001,-0.00402026586498353
"(11.5,21.7]","ST model coarser",NA,NA,263.386065589679,99.9978424165737,-0.314795013025362
"(21.7,34.4]","Generic PC",0.18731028056652,0.143947895289451,226.49851346955,41.236024168181,0.0992519915567838
"(21.7,34.4]","QM",0.142746193994864,0.103144702935648,98.6702770262925,32.478991695904,-0.0142978731413023
"(21.7,34.4]","GB LM",0.136783658833395,0.103881077798893,215.223686646351,28.0375502677401,-0.0233677408960628
"(21.7,34.4]","Linear model",0.133004672734567,0.103026270724484,229.353278613149,29.7017412631009,0.0281232376296687
"(21.7,34.4]","LM beta model",0.129614002589644,0.0988559928210096,241.899886703962,28.2874631762487,0.00783124183732764
"(21.7,34.4]","LM bru model",0.129412836665889,0.0978860300153132,186.10325533294,28.6684056483331,0.00438702224953591
"(21.7,34.4]","LM t model",0.1294093409228,0.0963915737073691,181.343391232267,28.6548099113193,-0.00204441515394967
"(21.7,34.4]","LM+hour model",0.129311946160459,0.0978898845734126,191.222476698237,28.3554912073874,0.00438742067103171
"(21.7,34.4]","AR1 model",0.12597224262232,0.0956865191786722,178.628702048815,27.2443086503647,0.00516574204507689
"(21.7,34.4]","ST model coarser",NA,NA,558.865387904814,99.9995975024669,-0.0937845457840532
"(34.4,212]","QM",0.198864012441069,0.147214863114248,73.3317430198429,41.0963608968958,-0.0831702519624401
"(34.4,212]","Generic PC",0.197431280855291,0.15098878534163,141.712924459412,39.8682370052806,0.029834718362008
"(34.4,212]","GB LM",0.186903575905619,0.140196164384244,137.381806403972,34.8763384554824,-0.077911126456438
"(34.4,212]","Linear model",0.158339605349341,0.122215780156478,277.21015237682,30.5475184516779,-0.00967565862749783
"(34.4,212]","LM t model",0.158126394176065,0.122738222325596,338.286942670107,30.4766799429059,-0.00971413364892623
"(34.4,212]","LM bru model",0.157509067744086,0.123895232048623,350.857705703441,30.8698406121996,-0.000413956729979519
"(34.4,212]","LM beta model",0.157240878667727,0.123380301862742,272.927570762669,30.9850265851041,0.00495653523154801
"(34.4,212]","LM+hour model",0.157059197876853,0.123545338115413,355.651858381642,30.7027099925304,-0.000395848897523484
"(34.4,212]","AR1 model",0.146194927296918,0.113590630338418,242.794435095378,28.9452385088837,-0.000789804383953883
"(34.4,212]","ST model coarser",NA,NA,740.009958310727,99.9998056760248,-0.12666824736862
