"elevation_g4","model","RMSE","MAE","MAPE","MDAPE","Bias"
"0","Generic PC",0.227320467483343,0.183216069949811,129.156156592564,29.9420938994802,0.178684257117646
"0","GB LM",0.145245348006622,0.115868626074075,65.1334615630195,18.7449516035134,-0.0633255248014834
"0","QM",0.123933661682985,0.093006646591844,55.6448792881007,12.4017403701113,0.0345200315510557
"0","Linear model",0.118780048187377,0.0933683474361262,39.666699151751,13.9729565596654,0.000392819145169307
"0","LM beta model",0.116616731090406,0.0927728894426351,88.8343162133752,13.4096873221522,-0.00220677081942705
"0","LM bru model",0.115069414028395,0.0889179423146204,69.6338897875518,12.6782681872193,0.00172320083519727
"0","LM t model",0.115034023941027,0.0874440704067165,68.5935552563436,12.3344607139218,0.00238756765452184
"0","LM+hour model",0.114948924846386,0.0888936708618217,72.0946984643765,12.707535171654,0.00162923452773459
"0","AR1 model",0.10750054552262,0.0831752263661987,47.6004992670709,12.0447848794951,0.00118976909116715
"0","ST model coarser",NA,NA,99.9610577670709,100,-0.603083942527454
"[3,196]","ST model coarser",0.486434071521971,0.39105170139896,268.702163059393,99.9423534460446,-0.321365943199569
"[3,196]","Generic PC",0.225381024287597,0.180537198630116,185.216592613809,42.1201563705348,0.147118208979488
"[3,196]","QM",0.158194578814409,0.117801177917962,78.8941127413936,27.8879088835931,0.00626150076289222
"[3,196]","GB LM",0.153268315342305,0.119802829311405,155.74581437145,24.7782502133801,0.00124401448802779
"[3,196]","Linear model",0.140242114922142,0.106680630565055,103.060996567074,23.4199525236745,-0.0112131956915719
"[3,196]","LM t model",0.138473037743138,0.104964826532293,157.792853655463,22.5352220576943,-0.00825585573759462
"[3,196]","LM beta model",0.138284684536351,0.106248058306429,191.377517180535,21.901075244642,-0.000115435229065869
"[3,196]","LM bru model",0.137902305783353,0.105626361274393,168.105838399185,22.397094981229,-0.00414828028282786
"[3,196]","LM+hour model",0.135872126603368,0.104509679279555,174.122535036737,22.5170094558389,-0.00390169987086324
"[3,196]","AR1 model",0.130988186904713,0.101182115502406,151.676469477737,21.8092134867821,-0.0033681419752616
"(196,315]","ST model coarser",0.393916654237833,0.312997145419404,428.487452139734,100,-0.235054425079929
"(196,315]","Generic PC",0.220269830838239,0.175235654070955,322.97608661441,51.4436496525264,0.132044805719889
"(196,315]","QM",0.156903934328891,0.119255115870739,130.426837159301,36.6471246329145,-0.0193662406750569
"(196,315]","GB LM",0.148541488953739,0.117973516498594,263.063622455273,33.8055066565916,0.0172966403627801
"(196,315]","Linear model",0.148222554095546,0.118618143300214,329.701622635838,34.3534443085084,0.0300081673991654
"(196,315]","LM beta model",0.143183812012163,0.111887916102395,322.819390725907,31.7353760800207,0.0113525784749709
"(196,315]","LM t model",0.142769398787267,0.110145059242329,240.99143384364,31.9129971943679,6.86254573418346e-05
"(196,315]","LM bru model",0.142568329415836,0.110779354704276,260.616300188657,31.9273028200938,0.00652161033806435
"(196,315]","LM+hour model",0.141236305998833,0.109807632564816,287.427811486261,31.7367182679004,0.006608075521908
"(196,315]","AR1 model",0.13112288858392,0.101233258965574,294.132353078828,29.1594164623316,0.00647717491204773
"(315,725]","ST model coarser",0.445623057968486,0.360365698593687,341.03419745824,99.9079684014961,-0.193258102429519
"(315,725]","QM",0.213334865647773,0.161399672687385,93.0389138808139,40.1927049166244,-0.119598705198596
"(315,725]","Generic PC",0.189016385176474,0.145355609312304,177.401344391502,35.3724998138456,0.034263209969667
"(315,725]","GB LM",0.18580796752429,0.142340470379038,165.674525724633,33.2818608389196,-0.0661046326347132
"(315,725]","Linear model",0.167919224879987,0.132658449645386,265.865289432097,30.4706258548677,-0.0136702727965541
"(315,725]","LM t model",0.167880770821578,0.133045922252159,305.25562717688,30.8700603944761,-0.0099157415232257
"(315,725]","LM bru model",0.167597519847409,0.133901988929094,320.408148129175,30.6335239095476,-0.0016366277761348
"(315,725]","LM beta model",0.166227310984306,0.131720270257144,269.669131016661,30.287609188833,0.00669574179305525
"(315,725]","LM+hour model",0.165124261632224,0.131712515832252,336.21865964404,30.367112520846,-0.00160373716106818
"(315,725]","AR1 model",0.157979524904704,0.124627004330582,230.605246395442,28.3661151695604,-0.0014418172643663
