"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.196882387326928,0.14282296691233,48.5199435788911,0.104287162943904
"QM",0.155817998899963,0.102587023928094,37.609870627585,-0.0521370225829509
"GB LM",0.149963645847932,0.105836470007594,31.8565181299799,-0.00956173067538281
"Linear model",0.130892180781927,0.0946716612852258,30.8149324801475,0.00208825760192879
"LM t model",0.1295360172947,0.0879511782756519,29.2820778885929,-0.0149290297183809
"LM+hour model",0.125836480964171,0.0903930812926383,29.5780373995213,0.00211483771232242
"LM bru model",0.12562257700656,0.0901584587350795,29.4856873262164,0.00209804459598951
"LM beta model",0.124878647153392,0.0888541487730332,28.7906832697227,0.00339011129497529
"AR1 model",0.1229996147614,0.0883605957585805,29.3533389705378,0.00207997664441042
"ST model coarser",NA,NA,99.9999943479496,-0.173702665898392
