"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.17212775084601,0.119962898472419,64.9080614475774,0.0818457273440729
"QM",0.127429862567088,0.0810356651024665,50.7834513755752,-0.0307607386002024
"GB LM",0.124470165813352,0.0871156070747804,45.6950956664052,0.000552007022270021
"LM t model",0.11747185015291,0.0760868633580825,44.3276743329102,-0.0214315643761772
"Linear model",0.115683162504848,0.0808369691037217,47.0417786948905,0.00125367060643529
"LM bru model",0.111529939776877,0.0778660149199772,45.0367243493492,0.00199288352086271
"LM+hour model",0.111324474643372,0.0777213057857448,44.8938420235617,0.00202133958838205
"LM beta model",0.109863238592877,0.0762067807614831,42.4493172059167,0.00523114164673652
"AR1 model",0.106185906865705,0.0736631593257955,42.529456290603,0.00164553643704059
"ST model coarser",NA,NA,99.9944644654471,-0.149308870783269
