"tech_typ","model","RMSE","MAE","Bias"
"Wind Offshore","Generic PC",0.350129554912632,0.253342624311235,0.234064855811979
"Wind Offshore","QM",0.253398906979109,0.16012436567805,0.0845876407538817
"Wind Offshore","GB LM",0.214870877591246,0.148903637533437,-0.00219354569855387
"Wind Offshore","Linear model",0.192853659056171,0.14349852634409,-2.21447729838966e-14
"Wind Onshore","Generic PC",0.287103573962556,0.188894385183331,0.145960817895941
"Wind Onshore","QM",0.228388179297909,0.150281134637461,-0.030533388429141
"Wind Onshore","GB LM",0.209661658563729,0.144389160680831,0.0337101876986315
"Wind Onshore","Linear model",0.199644785989673,0.144232549015195,3.60857587760815e-15
