"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.224956395245857,0.180760973094363,49.9047531295089,0.1229944028119
"QM",0.171664962772239,0.123743913820196,36.2448667630271,-0.0471137934588914
"GB LM",0.161779793014233,0.124446238034378,33.2557372633114,-0.00661950404821606
"Linear model",0.149432099767852,0.114996707532878,31.7991152422273,0.000164839630046905
"AR2 model",0.140571801578069,0.107721637705042,29.5150483419026,0.000431317136734192
"AR1 model",0.140567859813277,0.107695130082794,29.5543169504061,0.00042675674639083
"Spatio-temporal model",0.0848213338267244,0.0628338307576921,17.1911453515603,0.000356930028370236
