"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250817.rds",19059.7303287986,-38339.8229532269,-38337.3219907282,0.762628220079073,0.759913391352543,NA,NA,NA,NA,NA
"ts_bru0_lmbeta_250817.rds",14006.7246563,-28172.7434588336,-28166.530839995,0.560305019670219,0.556635068886523,NA,NA,NA,NA,NA
"ts_bru0_lmt_250817.rds",21278.0268027173,-42828.380017702,-42810.5986672178,0.851613248204216,0.848508743184303,NA,NA,NA,NA,NA
"ts_bru0_ar1_250817.rds",20014.875988778,-40423.9066051324,-40418.7465376104,0.804032036688901,0.801386581218299,NA,NA,NA,NA,NA
"ts_bru0_ar2_250817.rds",20021.3076070128,-40460.8673837988,-40457.6246887453,0.80480589571032,0.802278785856468,NA,NA,NA,NA,NA
"ts_bru0_1DSPDE_250817.rds",19099.1253291018,-38413.5900086963,-38411.7266740984,0.764108296508743,0.762483656184793,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250817.rds",10688.7948569687,-22395.7439507358,-22408.1405255791,1.41339010331088,1.38026021935183,NA,NA,NA,NA,NA
"lm_model_aic0_250817.rds",NA,NA,NA,NA,NA,-37361.5290654083,-37207.0207504619,18699.7645327041,332.351537580552,0.830934582700291
"gblm_model_aic0_250817.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250817.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.785235262268499
