"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.181061432760722,0.126594785910054,54.546548889599,0.0862614285784803
"QM",0.153949867803249,0.0962982849149396,44.7512729516533,-0.0490686021677861
"GB LM",0.146404565952681,0.0995176332246327,36.8561249853934,-0.0125767491703156
"LM t model",0.130243651526084,0.0846711776339,35.9617557534771,-0.017230869967056
"Linear model",0.126720044615239,0.0885076223952745,36.4350263447071,0.00213334397966259
"LM+hour model",0.125041822765171,0.0869789466616668,35.6178557494202,0.00202956410760756
"LM bru model",0.12489785074213,0.0868446802137264,35.7666427836331,0.0020293766046165
"LM beta model",0.124702682971655,0.0863806617432337,35.0590895146391,0.00575734627950086
"AR1 model",0.120329152955263,0.0834740092020044,33.649868058848,0.00201461599614805
"ST model coarser",NA,NA,100,-0.0762956404679122
