"tech_typ","model","RMSE","MAE","MAPE","MDAPE","Bias"
"Wind Offshore","Generic PC",0.227587888432636,0.183871723046549,129.724679160539,30.1282884871084,0.179466775052109
"Wind Offshore","GB LM",0.144336775784291,0.114931251872508,66.1426604989056,18.699269056906,-0.0620315214227145
"Wind Offshore","QM",0.123632064172026,0.0927915024991373,55.8920400606107,12.4738831375196,0.0353831928195834
"Wind Offshore","Linear model",0.118116276843843,0.0927583768678091,40.0010828283604,13.9794565581728,0.000475611825496956
"Wind Offshore","LM beta model",0.116277342653565,0.0922680363960063,88.2643999912381,13.4377004230206,-0.00338210595139701
"Wind Offshore","LM bru model",0.114660442582017,0.0884820338172258,68.5102794167236,12.7091110544976,0.000298752565773962
"Wind Offshore","LM t model",0.114654502836335,0.0869701682895131,67.1965262359893,12.3200845419084,0.00104452325133008
"Wind Offshore","LM+hour model",0.11454868168511,0.0884696313817805,70.9008731499975,12.7376726636603,0.00021705504753144
"Wind Offshore","AR1 model",0.107587210653681,0.083303253024612,52.7603678485434,12.217111545383,0.000244264735796501
"Wind Offshore","ST model coarser",NA,NA,104.675683053409,100,-0.59669278789195
"Wind Onshore","ST model coarser",0.443236415862757,0.354647713103878,345.048882057018,99.9721157627345,-0.246647113388478
"Wind Onshore","Generic PC",0.211183328342444,0.165953741467383,225.346695722834,41.8075738749933,0.101102002025015
"Wind Onshore","QM",0.180049296334568,0.134317345373153,100.115109826094,35.2759983909284,-0.0477358406072942
"Wind Onshore","GB LM",0.164722872101243,0.12769198112648,193.126004117224,31.0695229668154,-0.0177922879589464
"Wind Onshore","Linear model",0.153526798144385,0.12010715364865,232.746624457623,29.3491213531877,0.000623002818919953
"Wind Onshore","LM t model",0.15131034406552,0.117038854156628,238.051617688538,28.7848238261633,-0.00601862595448594
"Wind Onshore","LM bru model",0.150959861006979,0.117747413595975,253.328216180569,28.6617981667236,0.000456711076304229
"Wind Onshore","LM beta model",0.150680486574554,0.117490104141224,261.70885093101,28.1511641419118,0.00629905553538776
"Wind Onshore","LM+hour model",0.148950180455397,0.116274211273049,269.399693634898,28.3828705195755,0.000576090678981039
"Wind Onshore","AR1 model",0.141549584431305,0.109807702522009,223.811916941386,26.5606827815987,0.000637191216842095
