"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250604.rds",12841.3914811195,-25876.382463366,-25880.5888896619,0.526799141016991,0.524975796887619,NA,NA,NA,NA,NA
"ts_bru0_lmbeta_250604.rds",12739.9788444987,-25637.1840227067,-25632.3566758358,0.521746399120375,0.518133744376605,NA,NA,NA,NA,NA
"ts_bru0_lmt_250604.rds",13012.7103046227,-26235.8283758674,-26238.8918397892,0.534092402902662,0.531862757523009,NA,NA,NA,NA,NA
"ts_bru0_ar1_250604.rds",13989.9631551507,-28403.1720539124,-28411.6056368174,0.578316231146754,0.574896244111505,NA,NA,NA,NA,NA
"ts_bru0_ar2_250604.rds",14012.6249834843,-28452.1461195603,-28459.6571333271,0.579295139388088,0.576781864080654,NA,NA,NA,NA,NA
"ts_bru0_1DSPDE_250604.rds",12916.1766139402,-26030.0471510283,-26035.0899386078,0.52994398358397,0.528755622753493,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250604.rds",4775.10783878973,-10374.072571755,-10406.768131808,0.708619920250555,0.690979366744751,NA,NA,NA,NA,NA
"lm_model_aic0_250604.rds",NA,NA,NA,NA,NA,-25259.9384206665,-25105.8667131929,12648.9692103332,513.516185627498,0.798174635532533
"gblm_model_aic0_250604.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250604.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75140609182955
