"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.121548704728416,0.109118325786279,54.5903424631086,41.3717916032726,0.109115076952274
"QM",0.0552493479003133,0.0458126935264601,20.6038077414833,16.2175988855528,-0.0441688844732087
"GB LM",0.0520722606616939,0.0377928097537746,51.8469001999885,9.28084768233753,-0.0267390925647351
"LM beta model",0.028664818289117,0.0235407060647923,26.1737805979605,7.28940147906643,0.0101581606255803
"Linear model",0.0270097068463484,0.0210179646171991,33.4335841529164,6.20348373310137,0.00295291036407448
"LM t model",0.0248875772376438,0.0195899862661285,22.7206543848191,6.44525351192951,-0.00948253963568888
"LM+hour model",0.024547270573139,0.0194765242885972,34.0555640495943,5.70316655783849,0.00247777455537091
"LM bru model",0.0238043197794582,0.0190021187294009,33.6136727894794,5.50422279778807,0.0032193341278727
"AR1 model",0.01719404872936,0.0134270053792805,22.2327666468487,4.07184165651991,0.000930409166230996
"ST model coarser",NA,NA,NA,NA,NA
