"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.281398666556244,0.19402925344075,403.266835689306,52.1506724147349,0.148411761657526
"QM",0.202583588392802,0.136293736492118,126.24108507524,45.3358569910011,3.34991604046614e-05
"GB LM",0.188366718928346,0.130555766823409,433.92907441806,35.3792117191295,0.0199046170473465
"Linear model",0.170338113630956,0.119522487330674,355.044950627312,35.2429740270618,0.00256526481214126
"Spatio-temporal model",0.0629162682072487,0.0398186011051566,107.500330718482,12.6744085929198,0.000824433789201286
