"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.139832647963997,0.127050042556952,71.4133306383613,63.502580613801,0.127050042556952
"GB LM",0.0376170071152946,0.0296982273532353,19.1544951843683,12.698041866258,-0.0072058646169421
"LM t model",0.0302715641314098,0.0231051921074908,12.5968746404716,10.1162601011823,-0.0140134217338912
"LM beta model",0.029798209816998,0.0240950386910245,19.4785583434896,10.0412172863283,0.0143181144338653
"LM+hour model",0.0281059480298741,0.0224747097369696,17.7843581168939,9.012893667809,0.0095488707643337
"LM bru model",0.0280981556517319,0.0227475261421668,17.5735128202138,9.04788846773453,0.00963550183514917
"Linear model",0.0259606715070622,0.0209914779365261,16.2219352922811,7.93525434376093,0.00897552868034521
"QM",0.0247953007760675,0.0199323698329043,12.9755435703967,8.67225195480958,0.000344371810168785
"AR1 model",0.0180980476513025,0.0134230020100501,9.41092880881961,5.21054798880181,0.00835704648913374
"ST model coarser",NA,NA,NA,NA,NA
