"Model","RMSE","MAE","Bias","RMSE","MAE","Bias","RMSE","MAE","Bias"
"QM",0.110451905519374,0.0619309097218311,-0.00159348821562845,0.195900874366809,0.133153769815764,0.000107762600724019,0.304961728126968,0.218597414028568,0.00220996609196019
"GB LM",0.107918893919418,0.0685729393327213,0.0205031326134914,0.186334847794047,0.131991357745425,0.0244066458069647,0.261770712768437,0.192500704831343,0.0143553923010388
"1D SPDE model",0.0925184509317835,0.0588424817723127,0.00734316010239484,0.160150113822766,0.115120970388568,0.00250345409079465,0.234463661642045,0.179261568809048,-0.00756028556268207
"Linear model",0.0916702616888957,0.0585087912320224,0.00657409866475593,0.161802615229372,0.116545032918624,0.00226444260877933,0.235396560280217,0.182657132583715,-0.00474788654624296
"AR2 model",0.0889478080958521,0.0561205903947127,0.00306500828952091,0.156449111393458,0.11221784186499,0.00124411997275919,0.230483562443471,0.176109541302001,0.000149103301546554
"AR1 model",0.0889369196030516,0.056103938575444,0.00304559256615383,0.156385791599199,0.112182330292545,0.0012208480959769,0.230440353856073,0.17608840450004,0.000185089558926912
"Spatio-temporal coarse",0.0612482837539432,0.0374732949237439,0.00222477163568728,0.117046877717547,0.0814666112682201,0.00113376396708151,0.179880741371954,0.131736106041489,0.000506630765730722
"Spatio-temporal fine",0.0477313713183827,0.0277172880016903,0.00174985276319664,0.0883303706010935,0.0593128621069166,0.00104539597207058,0.14466154693696,0.101328748601487,0.000784362247386279
