"coord_id","short_name","tech_typ","lon","lat","tooltip_text","sampled","sampled_label","tech_label"
75,"Cumberhead wind energy limited","onshore",-3.95894396552672,55.5718431095533,"Site: Cumberhead wind energy limited<br>Type: onshore<br>coord id: 75",TRUE,"training","Onshore"
76,"Gordon Bush","onshore",-3.9590510483295,58.0594950178717,"Site: Gordon Bush<br>Type: onshore<br>coord id: 76",FALSE,"validation","Onshore"
77,"Galawhistle  Farm","onshore",-3.97542228274821,55.5395749544602,"Site: Galawhistle  Farm<br>Type: onshore<br>coord id: 77",TRUE,"training","Onshore"
78,"Auchrobert  Farm","onshore",-3.9842108334804,55.6240027888923,"Site: Auchrobert  Farm<br>Type: onshore<br>coord id: 78",TRUE,"training","Onshore"
79,"Whiteside Hill","onshore",-4.02944207505616,55.3574139126262,"Site: Whiteside Hill<br>Type: onshore<br>coord id: 79",TRUE,"training","Onshore"
80,"Blackcraig","onshore",-4.03211808070007,55.119912397996,"Site: Blackcraig<br>Type: onshore<br>coord id: 80",TRUE,"training","Onshore"
81,"Strathy North  Farm","onshore",-4.03358805665473,58.4900040084942,"Site: Strathy North  Farm<br>Type: onshore<br>coord id: 81",TRUE,"training","Onshore"
82,"KYPE MUIR WIND FARM","onshore",-4.03610494281962,55.6326516167126,"Site: KYPE MUIR WIND FARM<br>Type: onshore<br>coord id: 82",FALSE,"validation","Onshore"
83,"SANQUHAR","onshore",-4.04657034796603,55.3441769855006,"Site: SANQUHAR<br>Type: onshore<br>coord id: 83",TRUE,"training","Onshore"
84,"Moy","onshore",-4.04880127303351,57.388833752549,"Site: Moy<br>Type: onshore<br>coord id: 84",TRUE,"training","Onshore"
85,"Sandy Knowe  Farm","onshore",-4.05134454869843,55.3721473898842,"Site: Sandy Knowe  Farm<br>Type: onshore<br>coord id: 85",TRUE,"training","Onshore"
86,"KILBW","onshore",-4.05880485759599,58.0404016375769,"Site: KILBW<br>Type: onshore<br>coord id: 86",TRUE,"training","Onshore"
87,"Braes of Doune","onshore",-4.05893742675988,56.269828915366,"Site: Braes of Doune<br>Type: onshore<br>coord id: 87",TRUE,"training","Onshore"
88,"GLEN KYLLACHY WINDFARM","onshore",-4.08565012619048,57.3207318659251,"Site: GLEN KYLLACHY WINDFARM<br>Type: onshore<br>coord id: 88",FALSE,"validation","Onshore"
89,"Farr Unit","onshore",-4.10301249522708,57.3339206177546,"Site: Farr Unit<br>Type: onshore<br>coord id: 89",FALSE,"validation","Onshore"
90,"Hare Hill Extension","onshore",-4.12628273504079,55.3628043739203,"Site: Hare Hill Extension<br>Type: onshore<br>coord id: 90",TRUE,"training","Onshore"
91,"Afton  Farm","onshore",-4.17428302347659,55.3116001968864,"Site: Afton  Farm<br>Type: onshore<br>coord id: 91",TRUE,"training","Onshore"
92,"y Rig  Farm","onshore",-4.17856147484813,55.2746731243223,"Site: y Rig  Farm<br>Type: onshore<br>coord id: 92",TRUE,"training","Onshore"
