"ws_group","propzero","proplow","n","cutoff_pattern"
"[0,15]",0.224787363304982,0.227217496962333,3292,1
"(15,20]",0.129000283205891,0.135089209855565,7062,1
"(20,25]",0.114698063045955,0.129889859475883,5266,1
"(25,30]",0.426865671641791,0.482089552238806,670,1
"(30,Inf]",0.761904761904762,0.793650793650794,63,1
