"bmUnit","quantity","curtailment","potential","capacity","n_hours","tech_typ","cf","cuf","pf"
"T_HALSW-1",45831.398,64710.2086833,110541.6066833,30,16153,"Wind Onshore",0.189155360201407,0.267071993575187,0.456227353776595
"T_HMGTO-1",429091.693,0,429091.693,108,16220,"Wind Offshore",0.489897809060602,0,0.489897809060602
"T_HMGTO-2",377122.768,0,377122.768,111,16122,"Wind Offshore",0.421474062078454,0,0.421474062078454
"T_HOWAO-1",1470440.513,188.054995,1470628.567995,400,16315,"Wind Offshore",0.450640672080907,5.76325452038002e-05,0.450698304626111
"T_HOWAO-2",1524952.397,206.805822,1525159.202822,400,14858,"Wind Offshore",0.513175527325347,6.95940981289541e-05,0.513245121423476
"T_HOWAO-3",1400948.636,89.023893,1401037.659893,400,16032,"Wind Offshore",0.436922603542914,2.77644376871257e-05,0.436950367980601
"T_HOWBO-1",1730637.387,31883.41225603,1762520.79925603,440,15719,"Wind Offshore",0.500447457043879,0.00921970870690074,0.509667165750779
"T_HOWBO-2",1733061.747,28376.165052753,1761437.91205275,440,15732,"Wind Offshore",0.50073438821857,0.00819873941149279,0.508933127630063
"T_HOWBO-3",1824796.744,0,1824796.744,440,15855,"Wind Offshore",0.523149205584702,0,0.523149205584702
"T_HRSTW-1",273252.01,3112.8102263,276364.8202263,142.3,14480,"Wind Onshore",0.265228322779281,0.00302140663284323,0.268249729412124
"T_KENNW-1",120048.915,34000.00031667,154048.91531667,60,13095,"Wind Onshore",0.305584612447499,0.0865470289338679,0.392131641381367
"T_KILBW-1",157273.798,29681.3433279,186955.1413279,68.51,15670,"Wind Onshore",0.29299715700697,0.0552956011860444,0.348292758193015
"T_KLGLW-1",603569.893,40545.4888681,644115.3818681,228,15484,"Wind Onshore",0.341931848722167,0.0229696579083899,0.364901506630557
"T_KPMRW-1",190971.667,23702.65102733,214674.31802733,89,14585,"Wind Onshore",0.294240530327834,0.036519975544106,0.33076050587194
"T_KTHLW-1",8835.548,0,8835.548,4,14983,"Wind Onshore",0.294852432757125,0,0.294852432757125
"T_KYPEW-1",169405.864,13920.95260061,183326.81660061,67,15194,"Wind Onshore",0.332821604757573,0.0273496659140981,0.360171270671671
"T_LARYW-1",550318.404,1191.2708961,551509.6748961,171,15740,"Wind Offshore",0.408924559174302,0.000885196501705343,0.409809755676007
"T_LARYW-2",573051.122,1068.32499237,574119.44699237,152,15751,"Wind Offshore",0.478709056066616,0.000892445418979246,0.479601501485595
"T_LARYW-3",567280.392,1167.3750063,568447.7670063,171,15699,"Wind Offshore",0.422629364033691,0.000869705640207277,0.423499069673898
"T_LARYW-4",578730.341,1640.90852836,580371.24952836,156,15687,"Wind Offshore",0.47297888419776,0.00134106513833927,0.474319949336099
"T_LCLTW-1",122920.926,38005.32638547,160926.25238547,69,13932,"Wind Onshore",0.255736821081277,0.0790700303866607,0.334806851467937
"T_LNCSW-1",478648.043,25.58278,478673.62578,125,16352,"Wind Offshore",0.468344464774951,2.50320743639922e-05,0.468369496849315
