"bmUnit","quantity","curtailment","potential","capacity","n_hours","tech_typ"
"T_EWHLW-1",85298.848,9750.4699867,95049.3179867,38,14829,"Wind Onshore"
"T_FALGW-1",425103.77,27759.8707401,452863.6407401,144,16022,"Wind Onshore"
"T_FARR-1",84151.432,33980.526609933,118131.958609933,46,15084,"Wind Onshore"
"T_FARR-2",85332.889,34247.523738363,119580.412738363,46,15331,"Wind Onshore"
"T_FSDLW-1",65439.621,0,65439.621,22.2,15457,"Wind Onshore"
"T_GANW-11",369281.8,5256.5541714,374538.3541714,88,16124,"Wind Offshore"
"T_GANW-13",376547.438,3105.5542607,379652.9922607,88,16127,"Wind Offshore"
"T_GANW-22",369223.103,2899.0916773,372122.1946773,88,16200,"Wind Offshore"
"T_GANW-24",367519.577,3259.5833166,370779.1603166,88,16118,"Wind Offshore"
"T_GLNKW-1",85262.831,58192.99368626,143455.82468626,48.392,14880,"Wind Onshore"
"T_GLWSW-1",125661.088,16039.55321276,141700.64121276,55.2,14214,"Wind Onshore"
"T_GNAPW-1",43401.863,3480.45119089,46882.31419089,22,13621,"Wind Onshore"
"T_GNFSW-1",322471.07,178.7827802,322649.8527802,108,15768,"Wind Offshore"
"T_GNFSW-2",209896.749,100.13972311,209996.88872311,86,15811,"Wind Offshore"
"T_GORDW-1",190106.843,29811.539452,219918.382452,86.764,15595,"Wind Onshore"
"T_GORDW-2",42862.29,81819.19076102,124681.48076102,37,14851,"Wind Onshore"
"T_GRGBW-1",589900.755,591.5583427,590492.3133427,167,15715,"Wind Offshore"
"T_GRGBW-2",613680.584,586.725014,614267.309014,168,15944,"Wind Offshore"
"T_GRGBW-3",401446.36,749.350001,402195.710001,168,11021,"Wind Offshore"
"T_GRIFW-1",152614.604,36610.4426811,189225.0466811,102,14238,"Wind Onshore"
"T_GRIFW-2",167257.04,34807.0678786,202064.1078786,104,14727,"Wind Onshore"
"T_GYMR-15",554022.23,15.75,554037.98,148,15417,"Wind Offshore"
"T_GYMR-17",108140.35,0,108140.35,148,6106,"Wind Offshore"
"T_GYMR-26",423723.17,71.66667,423794.83667,148,14793,"Wind Offshore"
"T_GYMR-28",409365.29,69.03333,409434.32333,148,14408,"Wind Offshore"
"T_HADHW-1",229038.981,10295.318963,239334.299963,100,14975,"Wind Onshore"
"T_HALSW-1",45831.398,64710.2086833,110541.6066833,30,16153,"Wind Onshore"
"T_HMGTO-1",429091.693,0,429091.693,108,16220,"Wind Offshore"
"T_HMGTO-2",377122.768,0,377122.768,111,16122,"Wind Offshore"
"T_HOWAO-1",1470440.513,188.054995,1470628.567995,400,16315,"Wind Offshore"
"T_HOWAO-2",1524952.397,206.805822,1525159.202822,400,14858,"Wind Offshore"
"T_HOWAO-3",1400948.636,89.023893,1401037.659893,400,16032,"Wind Offshore"
"T_HOWBO-1",1730637.387,31883.41225603,1762520.79925603,440,15719,"Wind Offshore"
"T_HOWBO-2",1733061.747,28376.165052753,1761437.91205275,440,15732,"Wind Offshore"
"T_HOWBO-3",1824796.744,0,1824796.744,440,15855,"Wind Offshore"
"T_HRSTW-1",273252.01,3112.8102263,276364.8202263,142.3,14480,"Wind Onshore"
"T_KENNW-1",120048.915,34000.00031667,154048.91531667,60,13095,"Wind Onshore"
"T_KILBW-1",157273.798,29681.3433279,186955.1413279,68.51,15670,"Wind Onshore"
"T_KLGLW-1",603569.893,40545.4888681,644115.3818681,228,15484,"Wind Onshore"
"T_KPMRW-1",190971.667,23702.65102733,214674.31802733,89,14585,"Wind Onshore"
"T_KTHLW-1",8835.548,0,8835.548,4,14983,"Wind Onshore"
"T_KYPEW-1",169405.864,13920.95260061,183326.81660061,67,15194,"Wind Onshore"
"T_LARYW-1",550318.404,1191.2708961,551509.6748961,171,15740,"Wind Offshore"
"T_LARYW-2",573051.122,1068.32499237,574119.44699237,152,15751,"Wind Offshore"
"T_LARYW-3",567280.392,1167.3750063,568447.7670063,171,15699,"Wind Offshore"
"T_LARYW-4",578730.341,1640.90852836,580371.24952836,156,15687,"Wind Offshore"
"T_LCLTW-1",122920.926,38005.32638547,160926.25238547,69,13932,"Wind Onshore"
"T_LNCSW-1",478648.043,25.58278,478673.62578,125,16352,"Wind Offshore"
"T_LNCSW-2",514189.614,26.63056,514216.24456,150,16375,"Wind Offshore"
"T_MIDMW-1",97562.793,13047.38508135,110610.17808135,51,13093,"Wind Onshore"
"T_MILWW-1",154261.98,23252.8445035,177514.8245035,65,15669,"Wind Onshore"
"T_MKHLW-1",107906.635,660.7083363,108567.3433363,53,14495,"Wind Onshore"
