"q0.025","median","q0.975","observed","fit","cov_loc"
-5.60902165869184,2.19054088714187,10.4159918062282,2.32097461086031,2.32079249657039,0.946666666666667
-66.9465828819022,-57.2727678856279,-46.566774402919,-57.0755304771631,-57.0755240211093,0.926666666666667
-29.3203281202246,-21.8766548358198,-14.5779086109826,-21.9341988958723,-21.9340177786534,0.953333333333333
-16.7926288925149,-7.63422800856867,2.15640766249952,-7.74875919623568,-7.74851384499142,0.966666666666667
85.2737636972696,96.0551919596743,106.680081493271,96.0940033112248,96.0940661664733,0.893333333333333
-16.4732686388333,-5.97256599819482,4.39125653006396,-6.06917798108436,-6.06899435091568,0.9
158.607564748105,168.152901808813,177.610796867942,168.268137346516,168.267988729889,0.9
-97.4832196460238,-88.846867930506,-80.3183997186601,-88.8968696457027,-88.8969461415757,0.966666666666667
-42.0527299920653,-31.8191003683945,-21.6964248939251,-31.924726509258,-31.9247212919976,0.873333333333333
-50.7208661726164,-40.8063655831368,-30.7487383088168,-40.9875760338031,-40.9874104507705,0.926666666666667
85.2430872552366,94.6552075248288,103.963810934911,94.573386972054,94.5730164250538,0.92
-3.01193883333819,7.60461855206863,17.7976034748006,7.55301004779788,7.55328285448609,0.853333333333333
-152.215845141719,-143.489154285761,-135.433229004052,-143.266253123853,-143.266097517785,0.953333333333333
70.8264519095161,80.4321670066172,90.3864492908621,80.897106645183,80.8968666589896,0.96
-144.25421212483,-134.181114711769,-123.304725572546,-134.173042349985,-134.172809463512,0.906666666666667
-23.0925704972599,-13.2778202232561,-2.72220349938135,-13.2081796376783,-13.2078966906776,0.92
-38.4532957601643,-28.2154857886395,-17.5055664078026,-28.471806672597,-28.4715424212467,0.88
137.862041906107,146.62390620588,156.549641005525,146.77486866441,146.77466154189,0.88
-41.5772052842931,-32.6087534727361,-23.3852762970378,-32.5668273395704,-32.5666532632378,0.886666666666667
19.7636969251993,27.0883585618908,34.4575735406328,27.1426932850341,27.142766004142,0.96
125.775346571523,135.192982843648,146.207079858985,135.661678247169,135.661732843156,0.933333333333333
0.0832335390002953,9.98325413382012,21.0712681487581,10.3938055066523,10.3938982043803,0.913333333333333
8.8032217412316,18.9521553086141,28.4431566676723,18.862054886146,18.8622043669617,0.926666666666667
-129.671558657029,-121.296406605235,-112.784679127072,-121.338376267178,-121.338298037977,0.853333333333333
-21.7971501406697,-11.8894066373808,-2.02275422507526,-12.0179718479306,-12.0179415601708,0.88
-57.744869007394,-47.6573282188225,-37.90206418999,-47.3852337017835,-47.3854613380935,0.92
16.3213515006553,25.3714993101063,35.8187414085319,25.5310116685305,25.5310917003307,0.88
-5.76110803561172,6.57672436894957,18.899388554756,6.67853879764902,6.67835583804286,0.753333333333333
81.8943723495837,92.5903304911803,103.35566460149,92.7256309427204,92.7257853910422,0.913333333333333
61.1429929023715,71.5338566819566,81.4970950165173,71.7245797748263,71.7245161418996,0.906666666666667
101.123707368771,111.307879535145,121.05044926314,111.359285823011,111.359331975887,0.92
8.31697489054616,15.3026727321365,22.5016338127137,15.1172351260944,15.1172398292593,0.96
98.5531358027354,109.192057686215,119.634118251177,109.203399384607,109.203126044751,0.946666666666667
240.660615731849,248.954329348018,257.056201362502,248.803436895423,248.803215185788,0.94
-102.726883079109,-94.5001174236061,-86.74048121353,-94.3317881645173,-94.3316598525615,0.926666666666667
-87.9028325658858,-77.2078797728296,-65.666432793898,-77.2523707286962,-77.2521868948618,0.853333333333333
36.4695305928223,46.3223801183657,56.1626666148717,46.4541818788916,46.4538816407677,0.906666666666667
64.8036551687463,72.4961176394081,81.0001971527564,72.5499017915172,72.5498314972779,0.953333333333333
52.0875252188191,59.133205245181,66.4933968031823,59.255937584556,59.2560998813625,0.946666666666667
48.0362754746138,55.3143255782012,63.7425066278234,55.5072320508442,55.5069860611935,0.96
35.6715775215479,44.6005782999399,53.2996699482247,44.4919883011141,44.4918994493721,0.953333333333333
-68.4775553177186,-59.7544296210354,-51.219558802965,-59.8682992709474,-59.8681948871421,0.94
116.770149426355,126.262184984283,134.937088761983,125.969880170641,125.969617255557,0.933333333333333
93.7334525568582,103.27941611404,112.554436872915,102.818685592538,102.818561324889,0.926666666666667
25.59774617027,35.9173125173245,45.9826042967517,35.6440071485267,35.6441097737121,0.9
-13.7515613328701,-3.50287726395615,7.69244446128841,-3.37954145573063,-3.37932963366683,0.933333333333333
-46.5844118529719,-34.9478516312632,-23.2178200205116,-34.9077656277047,-34.9079677629058,0.833333333333333
-69.9031926491399,-60.5463372340278,-50.5289982007548,-60.4708108879273,-60.4708507332177,0.986666666666667
-170.201455127835,-161.851451478683,-153.483794343476,-162.10022547129,-162.10007576466,0.98
-67.9236331043917,-56.3842270735652,-45.532937342654,-56.4116603337149,-56.411888704092,0.86
2.45981172393103,11.3952233725806,21.1985439102056,11.6725478305692,11.6724231652594,0.92
-103.41381395278,-95.1955006277432,-87.1474645239683,-95.2987015493639,-95.2986421630916,0.96
-9.41326218318522,0.0956759066759612,9.69453231096526,0.304495087381235,0.304324687606173,0.92
71.3460366385814,81.4099859774173,91.0801727175871,81.6893945291609,81.6891937922553,0.913333333333333
