"q0.025","median","q0.975","observed","fit","cov_loc","cov_nonoise"
300.161441579809,334.30674478009,365.274705122226,338.538577345949,334.37058154739,0.98,0.913333333333333
382.586884372592,416.468209786785,455.180956496672,420.132698071494,417.932669788658,0.98,0.913333333333333
57.5124219514119,97.2266237851546,135.675916348095,90.8205325434947,97.78667244831,0.98,0.8
237.913123206347,261.917873002527,284.834918869759,278.28516873514,262.569075666046,0.953333333333333,0.913333333333333
139.447674281382,180.652316722024,219.379026564191,199.704851899864,176.383826739137,0.973333333333333,0.766666666666667
248.250700816297,287.817578499228,326.193200441928,289.157522144892,287.906719471705,0.98,0.886666666666667
433.344387314855,469.663221558842,509.323676301565,474.257727040269,471.38319467897,0.993333333333333,0.826666666666667
314.467898141738,333.048406732005,354.385458758038,330.675383624293,334.273644432944,0.966666666666667,0.966666666666667
156.878710267318,200.137388493618,240.645670314538,202.938684906519,197.678035514446,0.993333333333333,0.853333333333333
486.714259827249,524.750036998726,560.881597057637,537.748907237407,526.500208587433,0.986666666666667,0.88
419.458912635292,450.76886622268,480.46957675454,448.063613991175,451.025285666753,0.986666666666667,0.886666666666667
196.240008805917,227.580809532655,264.094569398127,246.041562633126,226.823059920955,0.98,0.933333333333333
465.383784485464,507.546570946627,543.686238410613,511.181649490472,506.61456040302,0.986666666666667,0.766666666666667
422.924744783337,458.328392907319,491.891685432842,463.774231139764,456.844743409274,0.973333333333333,0.786666666666667
264.954840889814,301.309223365311,339.095991339317,299.245467549672,302.064293389924,0.98,0.913333333333333
394.86945273438,412.620992592176,430.74057624014,421.881190291173,412.881329934661,0.966666666666667,0.966666666666667
143.613258773866,174.008274141965,205.267187003549,172.485516754565,172.707317706925,0.993333333333333,0.94
380.324638605197,420.636738317186,456.59445519814,419.459816399382,419.138805832869,0.986666666666667,0.846666666666667
35.7285331974549,74.3562074485377,115.653321548543,75.6479252637109,79.0866851550907,1,0.78
381.448907335229,422.613519550418,467.239779473615,424.736113387622,422.96716169885,0.993333333333333,0.833333333333333
385.639547512244,417.465220524089,452.493310156624,425.211013512585,417.917599087821,0.993333333333333,0.88
122.630470906425,161.434592287873,196.613556663838,179.737501989364,161.351630149886,0.973333333333333,0.826666666666667
58.300511085844,92.6750154262025,124.374634490481,99.3087647465159,92.7256200928342,0.986666666666667,0.806666666666667
-42.4999456006508,-8.21194817453359,23.9618399392326,-0.425126450417739,-9.60082974526997,0.966666666666667,0.813333333333333
74.7687294837997,121.519407896047,160.177409218066,113.286255337434,122.977934916146,0.993333333333333,0.813333333333333
344.248734425216,373.289410977021,402.678200896929,364.072152927563,372.239499642451,0.973333333333333,0.886666666666667
167.580191490989,189.647092444331,212.580573234454,199.259193618577,188.893042194294,0.973333333333333,0.973333333333333
285.866175687643,322.456564509554,360.784006046518,318.772665682972,322.446730696434,0.98,0.886666666666667
387.718361226088,427.802051991669,469.015353134332,417.474795906604,428.455981920646,0.986666666666667,0.886666666666667
276.247355149754,316.793976343894,357.716753086937,326.229461162804,317.351033361605,0.993333333333333,0.86
296.355922480572,337.460047909232,377.225461914406,346.439032771884,337.221369950235,0.973333333333333,0.82
373.800101303429,408.099117074998,440.245393074455,407.906833934589,405.858922957806,0.993333333333333,0.886666666666667
360.087839437179,394.339537129656,428.302408835519,386.725329023591,392.293085602002,0.986666666666667,0.88
341.579705976788,377.064990145064,415.705219403248,365.731777572359,377.914370867903,0.973333333333333,0.84
62.8919456814639,96.5512574860565,130.831055151044,97.0958113852326,96.0631212133721,0.96,0.846666666666667
111.053364637416,151.251130658252,189.271247205994,144.449212506053,153.945230039114,0.993333333333333,0.813333333333333
269.242027979945,309.634879273611,346.265473560475,310.858218700597,307.731328519005,1,0.88
376.319703636141,414.464400201185,451.789394589835,426.179116593425,413.694816178036,0.966666666666667,0.76
48.5366560458598,78.3442115608284,108.763618722516,72.7935059933608,81.1638081372624,0.993333333333333,0.926666666666667
348.77911230718,384.106168905304,419.955500494736,372.511323528095,383.17013945673,1,0.906666666666667
258.508951694538,297.751170911888,338.162349658913,298.363768619755,299.254170493685,0.973333333333333,0.866666666666667
315.757816968575,348.413699113234,379.312670728103,344.531821471648,348.174329683952,1,0.886666666666667
452.612919446587,491.455451031884,529.175862487324,503.313999066757,492.467859588867,1,0.886666666666667
292.46091353783,326.055452912915,356.312428269022,319.223993851996,324.293885124499,0.986666666666667,0.853333333333333
249.550080889909,290.734420188034,335.048283825687,294.421007934453,293.123299941643,0.973333333333333,0.793333333333333
505.936691506269,549.746091138732,591.13736440075,546.463067071659,552.379400292483,0.986666666666667,0.806666666666667
316.03756680837,352.86308244734,393.195745506116,351.401387777259,353.180336184221,0.966666666666667,0.84
297.361538762849,335.380447779722,371.209519911971,324.607731626365,336.755763440423,0.98,0.846666666666667
275.726030004267,312.776695321892,350.897708111963,316.338589056229,312.6024847441,0.98,0.806666666666667
274.700431474246,317.71519365383,363.976724424138,321.62834655549,315.286988373887,0.993333333333333,0.893333333333333
327.343361337322,372.094411505156,413.650545996145,372.384388002895,369.312596935279,1,0.726666666666667
556.320217798716,597.121686293543,635.5480940126,606.160494120207,596.878499751087,0.986666666666667,0.833333333333333
401.441146000589,440.132777646214,480.624951319397,442.955487963877,441.759924232745,0.98,0.84
262.616783323247,303.921931548749,339.759120957091,305.887950305322,304.234017640346,0.98,0.833333333333333
74.9970595170644,112.650219076084,151.334720283964,101.327559567602,112.126129339679,0.973333333333333,0.833333333333333
281.399760872819,322.520273276437,363.716556383577,314.82878306046,323.042069656956,0.993333333333333,0.766666666666667
184.217308006284,220.677018318654,257.829274167461,219.76065623192,223.171844815952,0.973333333333333,0.793333333333333
106.653716654206,148.466796296203,192.089787561584,151.805333007994,151.220829334056,0.993333333333333,0.846666666666667
348.010064298224,382.27655400864,417.407207256374,376.765138882373,382.798185393942,0.98,0.9
356.095853884069,398.634651090123,442.385020746829,390.176524812895,399.262572220948,1,0.846666666666667
476.481892563541,516.14061503614,563.930529736043,521.244089514774,516.246156851342,1,0.766666666666667
-96.7961835554404,-58.6773052016868,-23.1735951433502,-61.5228444683031,-60.6106914297337,1,0.926666666666667
247.430674393901,285.210847456455,321.192417534394,280.327822137984,285.594932871291,0.953333333333333,0.793333333333333
131.132823473133,164.633892116977,203.375451059419,170.692896873219,166.618308870541,0.993333333333333,0.873333333333333
400.624706013571,436.107309612256,471.203444562982,425.60282535889,435.237485612112,0.96,0.813333333333333
348.995338329304,396.608019282623,440.446629838447,391.95460310287,396.819562194234,0.98,0.76
269.435284118842,303.279208983012,338.979651182108,292.988653888845,303.383866355711,0.98,0.813333333333333
-4.03789183454293,27.65238485305,57.7207477270759,16.7425806289166,28.7867791477134,0.986666666666667,0.926666666666667
562.44296817797,592.488333212571,625.156974971168,584.771463993581,592.323514041732,0.973333333333333,0.833333333333333
108.563585505879,143.946236625067,177.799423883627,151.211132229898,143.212477696282,1,0.92
419.869299864484,460.898810315271,501.007758995501,453.375213462231,460.815436587252,0.98,0.806666666666667
568.666963682257,600.894072617531,634.01670290264,610.487093830984,601.474941613985,0.986666666666667,0.913333333333333
239.583652347319,277.282771944956,309.846031086377,281.510892317624,275.569805083403,0.993333333333333,0.906666666666667
259.868263888153,291.56985710834,325.008722867666,281.006771543566,293.546593722787,0.986666666666667,0.886666666666667
392.046572525901,423.849372089093,456.885288437993,435.650434856788,422.490876537837,0.986666666666667,0.893333333333333
-35.3254396525181,-1.95146372617811,29.8754822816503,0.758092345825083,-4.11931629930738,0.973333333333333,0.866666666666667
179.880728377292,217.215384005976,251.917700910036,211.20959300695,212.266505360617,0.98,0.82
13.8266865537105,57.8812841730397,103.986832171441,62.4340544831365,57.3434092206244,0.993333333333333,0.833333333333333
585.754169617579,623.326691608168,659.867282980924,621.923768082813,622.8718830284,0.993333333333333,0.833333333333333
241.812701235601,290.715971322064,336.06279588194,291.850117551762,289.906522095852,0.98,0.76
339.96865131848,374.300191989255,408.380351755619,392.084302019721,377.362612241538,0.986666666666667,0.906666666666667
301.355979474901,334.643679613191,364.387467471034,353.008189635572,336.002589410466,0.98,0.906666666666667
273.859167978084,313.817574551426,353.044937039176,317.447335184003,313.725267538297,0.986666666666667,0.84
384.35509418558,424.333017522001,463.823856898407,426.552168455589,427.440411266493,1,0.933333333333333
470.017868183869,506.16399113487,542.482566384938,514.355457273876,506.465782281694,0.986666666666667,0.853333333333333
195.230902313472,214.69411882563,233.278382600024,209.526397797072,214.756422735562,0.96,0.953333333333333
-97.0443616608709,-62.1562757347289,-27.1024178914246,-55.7280377171546,-59.2594213636141,0.993333333333333,0.906666666666667
181.86348784282,218.963408278522,258.924137140184,218.310641350349,220.216836138152,0.993333333333333,0.893333333333333
373.70916187691,410.706778854021,446.201429828354,406.442699427697,412.972370806511,1,0.926666666666667
307.792872727049,344.763685717511,381.048097316861,353.231004710472,346.341397040071,0.98,0.853333333333333
295.31564492161,330.711839408304,368.968965186661,325.856007895978,333.780170326542,1,0.933333333333333
211.899714014284,242.602678266253,276.953341366656,232.569796882736,244.443932941265,0.973333333333333,0.873333333333333
420.401245279834,458.694910877421,499.747730361298,462.03072622821,456.642780252117,0.973333333333333,0.726666666666667
55.1428537017773,87.5131009724061,119.579969797607,94.1791683685133,84.9036974106225,0.993333333333333,0.953333333333333
510.516334531445,555.487199713458,602.855319267794,537.684841757981,553.82958196092,0.98,0.873333333333333
207.140251651304,240.797911303134,276.956180094006,221.224410182245,237.681697695344,0.98,0.846666666666667
256.278458190469,296.988371935285,339.013745591776,289.990657578275,297.231127869329,0.973333333333333,0.8
115.502853029377,134.704340736542,154.446090280729,139.747574773992,135.103634705934,0.98,0.98
