"q0.025","median","q0.975","observed","fit","cov_loc"
612.856607665355,659.46294096633,708.041608127529,653.308405929761,663.726023326167,0.724
1435.38588411392,1493.53216591287,1542.02481482313,1485.48279212117,1491.79902916992,0.712
1394.31614241638,1439.61534794061,1490.01829587851,1423.87348551012,1440.89020743524,0.79
1134.70992127325,1181.49635770972,1231.88093962819,1211.64860343255,1180.18149257411,0.74
1425.14736267782,1474.92915063385,1528.22382288265,1469.71107407391,1477.01454338797,0.708
1222.44100121467,1274.42926276045,1323.33337345621,1251.4831120005,1273.99820265107,0.646
958.94851858506,1010.331237867,1064.9970434913,1021.57877957303,1010.33008315386,0.732
386.860644152494,441.029087925554,497.170931316225,433.486196708343,441.740882935208,0.712
552.077740726839,604.719039543356,654.970848830205,605.048949480694,602.862942093626,0.75
1436.09017716909,1486.53012160204,1538.32765844335,1529.58672228691,1485.39522227913,0.678
435.508622238021,489.793121672473,540.471461819081,491.130954715219,488.056706644188,0.718
1295.95250653207,1349.47491452233,1400.740150454,1338.89482938802,1346.78402728965,0.694
462.895612982604,511.244580235351,560.007804221875,515.214177785942,510.892549436381,0.732
1422.80925132165,1468.55723538066,1517.30690002992,1443.22190750225,1463.34857692411,0.752
1865.0229001454,1918.7191173302,1975.26917117399,1914.08924269893,1917.54103886321,0.758
530.536267243187,580.039900434781,629.103727211093,555.220071387337,585.406304658662,0.742
1241.57478572688,1293.0362806795,1342.58053705567,1307.71933911229,1289.78817925561,0.754
831.719250470683,881.697671945387,937.703129203008,867.763376842607,883.576645385682,0.696
444.864018736183,491.072145297912,537.728778554273,524.353676181945,491.427244016441,0.748
1482.97163664294,1534.34339460948,1586.2238825981,1518.09505526172,1540.99389549578,0.738
1062.91059958761,1120.64416820868,1175.37740554469,1143.6085378983,1119.56100427952,0.698
1296.49068270321,1349.50806229267,1402.02172681505,1339.77282340112,1352.77677430025,0.694
589.316315623371,640.478916520076,693.834497468971,650.604801927166,639.846371304202,0.754
824.265508614962,873.340379905045,926.154324679578,863.250556465847,873.480985732787,0.728
1189.50108223974,1243.96334817362,1299.41632882563,1231.94356695793,1239.52391360356,0.66
958.256411430387,1010.33931604099,1059.70650877434,1000.6080217515,1012.67676629548,0.706
622.425741832778,671.377769690994,718.777638111905,686.308148312061,671.116753098821,0.756
1391.17817007014,1440.29175035472,1488.98320097328,1453.58867807021,1444.32986694961,0.704
1144.0137574674,1195.53044471414,1249.42817344628,1171.9348827119,1191.42030017711,0.768
1293.0714098872,1344.3495891385,1398.19662911978,1359.62438429175,1346.08902851182,0.67
866.581785699057,914.834910468896,959.031778678164,922.695559437957,909.762795082018,0.734
1881.95347115192,1936.40980151218,1991.77022802662,1923.46786312354,1939.33460347724,0.664
200.382075232422,245.353982510265,295.482419968952,251.991650190799,246.282889924243,0.696
635.174973801136,684.092004457011,730.024118806459,692.878226205596,682.407821383041,0.746
1473.73259167337,1529.22815146565,1582.26983340839,1550.32633394511,1535.42604383466,0.72
-124.911816837059,-74.1285376261422,-24.2304157643931,-59.9109672563677,-76.2659877624329,0.748
699.600975269423,750.278781432414,799.752243804717,722.873314251036,747.553483955475,0.746
2071.31818865311,2121.65624025874,2172.48882610573,2117.48091879061,2121.65449849883,0.784
429.429905675719,481.491393290135,531.624575895203,471.297607652471,480.561366951923,0.694
476.101421477048,522.273224414344,575.027780310328,526.373118278835,520.322502055936,0.666
2018.4700624817,2072.1147055398,2121.36625058919,2096.0946412474,2073.89478340469,0.71
1631.50185540075,1676.52006393591,1724.01080810458,1679.80746648164,1675.58677833713,0.734
1942.6361576879,1994.36564006188,2045.5359374134,1988.46402512394,1998.70638536377,0.698
964.145805882271,1013.69782429055,1066.35336169648,1011.59198445693,1011.35073789363,0.732
1491.37806117619,1542.02295555702,1592.21089375485,1531.46763351054,1542.91398011739,0.682
360.726206238224,411.285584054987,460.787798761211,393.123577221348,412.552066238787,0.764
2076.23241282354,2127.22593139108,2174.9333271217,2108.06202680643,2130.4655104584,0.752
1303.10546151192,1354.86271123934,1408.74514183748,1367.86153685677,1351.45526331008,0.73
242.205318198638,288.529474696147,342.60086368283,303.758379239392,289.509746795939,0.672
1604.06556548945,1656.25915602496,1708.32702110091,1652.08231170335,1661.06624156318,0.702
516.073467654207,563.183936860278,609.943147021532,576.441393874566,562.615508696953,0.752
718.885208687425,767.9301882918,816.108249512597,783.856272981966,770.105367600189,0.706
